Date,Close,High,Low,Open,Volume,Stock
,AAPL,AAPL,AAPL,AAPL,AAPL,
2022-01-03,178.87991333007812,179.73496187327837,174.653873733677,174.77180525837534,104487900,AAPL
2022-01-04,176.60963439941406,179.79392040563258,176.0396070589959,179.4892539814939,99310400,AAPL
2022-01-05,171.91184997558594,177.07156425536837,171.6366664137079,176.5211971316123,94537600,AAPL
2022-01-06,169.0420684814453,172.285320469028,168.68825890104756,169.73002738877994,96904000,AAPL
2022-01-07,169.20913696289062,171.14525945761193,168.08874249862777,169.91675609783337,86709100,AAPL
2022-01-10,169.22879028320312,169.53345670452697,165.27791944101605,166.1722734494287,106765600,AAPL
2022-01-11,172.069091796875,172.1673630652104,167.88235785704865,169.35656184948618,76138300,AAPL
2022-01-12,172.51136779785156,174.13298635832638,171.81358623406135,173.09121782891782,74805200,AAPL
2022-01-13,169.22879028320312,173.5825988136433,168.83566022635117,172.7570481888216,84505800,AAPL
2022-01-14,170.0936737060547,170.79145523828697,168.14771352583708,168.39341420548664,80440800,AAPL
2022-01-18,166.8798828125,169.5727523119223,166.4965904021834,168.5604668437431,90956700,AAPL
2022-01-19,163.37130737304688,168.13790701368765,163.08630115574192,167.07647817629606,94815000,AAPL
2022-01-20,161.68087768554688,166.7619661877595,161.3565509731018,164.10840171802175,91420500,AAPL
2022-01-21,159.6169891357422,163.46957389675498,159.50888023954428,161.59241715203612,122848900,AAPL
2022-01-24,158.840576171875,159.50888984216238,152.03958291935942,157.26810076459748,162294600,AAPL
2022-01-25,157.0322265625,159.9609746399648,154.3196962957588,156.24598134135783,115798400,AAPL
2022-01-26,156.94375610351562,161.56292551584528,155.1059199641222,160.6882317654177,108275300,AAPL
2022-01-27,156.48184204101562,161.02238556956317,155.55800513342504,159.65629046052865,121954600,AAPL
2022-01-28,167.40078735351562,167.42044760669708,160.00028414870977,162.86024363325143,179935700,AAPL
2022-01-31,171.77423095703125,171.9904487208476,166.59485724513786,167.2336879096415,115541600,AAPL
2022-02-01,171.60716247558594,171.83320287445497,169.34671349776292,171.01747491741384,86213900,AAPL
2022-02-02,172.81600952148438,172.8553300243515,170.34918033798783,171.7447582622127,84914300,AAPL
2022-02-03,169.92657470703125,173.20914700397037,169.1599898283705,171.47940471663034,89418100,AAPL
2022-02-04,169.64120483398438,171.32394513354754,167.9584645344212,168.94251932550307,82465400,AAPL
2022-02-07,168.92288208007812,171.1763613855954,168.22419643494246,170.1037450572418,77251200,AAPL
2022-02-08,172.04232788085938,172.5540406567285,168.69653205769893,168.9917515443729,74829200,AAPL
2022-02-09,173.46917724609375,173.83327271357754,172.11117683042102,173.24284884864312,71285000,AAPL
2022-02-10,169.37548828125,172.68191263721238,168.81458491651972,171.36328295754743,90865900,AAPL
2022-02-11,165.95101928710938,170.32022548644153,165.360580335394,169.58218430454045,98670700,AAPL
2022-02-14,166.18719482421875,166.8760302449342,163.90418026929203,164.70126232865465,86185500,AAPL
2022-02-15,170.03480529785156,170.19225765383757,167.53531296237668,168.24383354883068,62527400,AAPL
2022-02-16,169.7986602783203,170.57605697053586,167.33852325607717,169.1098249151892,61177400,AAPL
2022-02-17,166.18719482421875,169.1688799431976,165.7837287151261,168.3029068340204,69589300,AAPL
2022-02-18,164.63238525390625,167.82071347120757,163.54008373100112,167.11220776829634,82772700,AAPL
2022-02-22,161.6999053955078,164.03211066057264,159.56449308823295,162.3493702057695,91162800,AAPL
2022-02-23,157.51768493652344,163.50072589040192,157.20278014132612,162.9004517631082,90009200,AAPL
2022-02-24,160.1450958251953,160.25334246210673,149.5763410580208,150.14709468760051,141147500,AAPL
2022-02-25,162.22145080566406,162.48713480856267,158.30490162446958,161.22754578023935,91974200,AAPL
2022-02-28,162.4871368408203,162.78235630766343,159.84002681342048,160.45998619224247,95056600,AAPL
2022-03-01,160.5977325439453,163.9435277104657,159.38734940316522,162.07381467213503,83474400,AAPL
2022-03-02,163.90419006347656,164.69143702654492,160.3517510934881,161.76879262391375,79724800,AAPL
